log,class
HTTP POST request blocked due to missing token. Possible CSRF attack detected on endpoint http://malicious.com.,Cross-Site Request Forgery (CSRF)
Multiple connection attempts from IP range 192.168.1.0/24 detected. DDoS potential. Firewall engaged.,Distributed Denial of Service (DDoS)
Suspicious outbound connection detected to IP 192.168.1.1. Destination port: 8080. Possible data exfiltration.,Benign
Session token replay detected for user user1. Risk of MITM attack identified and blocked.,Benign
Account user1 locked due to excessive failed login attempts. Device: USB3. Last failed attempt IP: 192.168.1.1.,Brute Force Attack
User user1 authentication failed: Access denied. IP: 192.168.1.1. Action: login.,Benign
User user1 attempted to access phishing domain malicious.com. Access attempt blocked. IP: 192.168.1.1.,Benign
Service web_service is unreachable due to heavy traffic. Load spikes from IP range 192.168.1.0/24.,Benign
Email from user1@example.com contained malicious URL. Link flagged for phishing attempt.,Benign
"Access granted to restricted resource resource1. User: user1, Device: USB1.",Benign
Database user_db access attempt failed. SQL query rejected due to suspicious patterns. Query: SELECT * FROM users.,Benign
Intrusion detected: Buffer overflow vulnerability in the HTTP server.. IP: 192.168.1.1. Device: USB3. Immediate action taken.,Benign
User user1 attempted to access restricted directory /home/user1. Directory traversal attempt logged.,Benign
File logfile.log deleted by user user1. Deletion reason: Access denied.,Benign
Email from user1@example.com contained malicious URL. Link flagged for phishing attempt.,Benign
Printer printer1 is out of paper. Action required: login.,Benign
CSRF protection activated for endpoint http://malicious.com. Suspicious request from IP 192.168.1.1 logged.,Cross-Site Request Forgery (CSRF)
Login page access from unknown device USB3. Suspicious activity detected from IP 192.168.1.1.,Phishing and Credential Harvesting
Possible CSRF attack detected from IP 192.168.1.1. Invalid token detected for user user1 on action: login.,Cross-Site Request Forgery (CSRF)
Unrecognized exploit detected in service web_service. Zero-day exploit attempt detected from IP 192.168.1.1.,Zero-Day Exploit
Service web_service is unreachable due to heavy traffic. Load spikes from IP range 192.168.1.0/24.,Benign
User user1 accessed confidential file logfile.log. Suspicious access to sensitive data detected.,Benign
File logfile.log deleted by user user1. Deletion reason: Access denied.,Benign
Intrusion detected: Buffer overflow vulnerability in the HTTP server.. IP: 192.168.1.1. Device: USB3. Immediate action taken.,Benign
Unauthorized access to configuration file logfile.log. Attempted directory traversal detected.,Benign
User user1 clicked suspicious link: http://malicious.com. Phishing attempt detected and blocked.,Benign
Table users_table updated in database user_db. Query: SELECT * FROM users.,Benign
Malicious script executed from file logfile.log. Remote code execution attempt identified and blocked.,Privilege Escalation
Connection intercepted from IP 192.168.1.1. Potential MITM attack detected on HTTP.,Man-in-the-Middle (MITM)
Antivirus quarantined file logfile.log due to detected malware signature. Path: /path/to/file.,Benign
Process 12345 executed with parameters: param1=value1. Potential RCE detected from IP 192.168.1.1.,Benign
Unauthorized access to configuration file logfile.log. Attempted directory traversal detected.,Benign
Unauthorized access attempt from IP 192.168.1.1. Action: login. User: user1.,Benign
Unrecognized exploit detected in service web_service. Zero-day exploit attempt detected from IP 192.168.1.1.,Zero-Day Exploit
"Access granted to restricted resource resource1. User: user1, Device: USB1.",Benign
Ransomware detected on device USB1. File encryption detected: logfile.log. Immediate action: login.,Benign
Account user1 locked due to excessive failed login attempts. Device: USB3. Last failed attempt IP: 192.168.1.1.,Brute Force Attack
Multiple failed login attempts detected for user user1 from IP 192.168.1.1. Action: Account lock triggered. Device: USB3.,Brute Force Attack
Cron job backup_job started. Job initiated by user user1. Command: rm -rf /.,Benign
Large data transfer detected to IP 192.168.1.1. Suspicious activity related to data exfiltration. File: logfile.log.,Data Exfiltration
Redirect detected to untrusted domain malicious.com. User user1 potentially targeted by phishing attempt.,Phishing via Malicious Links
Possible XSS attack on page http://malicious.com by IP 192.168.1.1. Script payload: malicious_script.sh. Action: Blocked.,Cross-Site Scripting (XSS)
User user1 attempted to access restricted directory /home/user1. Directory traversal attempt logged.,Benign
Query execution failed: SELECT * FROM users. Database: user_db. Error: kernel panic.,Benign
Cron job backup_job started. Job initiated by user user1. Command: rm -rf /.,Benign
Unusual activity detected for user user1. Multiple restricted file access attempts flagged.,Insider Threats
Unrecognized exploit detected in service web_service. Zero-day exploit attempt detected from IP 192.168.1.1.,Zero-Day Exploit
FTP transfer completed successfully from IP 192.168.1.1 to server2. File: logfile.log.,Benign
Suspicious outbound connection to IP 192.168.1.1. Possible data exfiltration attempt initiated from USB1.,Benign
Unknown behavior detected in process 12345. Possible zero-day exploit detected.,Benign
Ransomware detected on device USB1. File encryption detected: logfile.log. Immediate action: login.,Benign
Unauthorized SSH login attempt from IP 192.168.1.1. Attempted user: user1. Action taken: login.,Brute Force Attack
Query execution failed: SELECT * FROM users. Database: user_db. Error: kernel panic.,Benign
FTP transfer completed successfully from IP 192.168.1.1 to server2. File: logfile.log.,Benign
SSL handshake failed with IP 192.168.1.1. Error: kernel panic. Possible man-in-the-middle attack.,Benign
Unauthorized SSH login attempt from IP 192.168.1.1. Attempted user: user1. Action taken: login.,Brute Force Attack
Antivirus quarantined file logfile.log due to detected malware signature. Path: /path/to/file.,Benign
Query execution failed: SELECT * FROM users. Database: user_db. Error: kernel panic.,Benign
User user1 attempted to disable security settings. Action: login. IP: 192.168.1.1.,Benign
Attempt to overwrite read-only file logfile.log. Action: login. Error: kernel panic.,Benign
User user1 clicked suspicious link: http://malicious.com. Phishing attempt detected and blocked.,Benign
Ransomware activity detected on USB1. File encryption detected in /home/user1. Immediate action required.,Malware and Ransomware
SQL syntax error detected in query: SELECT * FROM users. Possible SQL injection attempt from IP 192.168.1.1.,SQL Injection
Failed to initialize database connection. Error: connection failure. Application: malicious_app.,Benign
Failed to initialize database connection. Error: connection failure. Application: malicious_app.,Benign
Possible XSS attack on page http://malicious.com by IP 192.168.1.1. Script payload: malicious_script.sh. Action: Blocked.,Cross-Site Scripting (XSS)
Large volume of files deleted by user user1. Risk of data loss from insider threat detected.,Insider Threats
Request token mismatch detected for user user1. CSRF prevention triggered on action: login.,Cross-Site Request Forgery (CSRF)
Service web_service is unreachable due to heavy traffic. Load spikes from IP range 192.168.1.0/24.,Benign
Suspicious proxy server detected at IP 192.168.1.1. Possible MITM attack underway on web_service.,Man-in-the-Middle (MITM)
High traffic detected from IP 192.168.1.1. Service web_service on server1 under threat of overload.,Distributed Denial of Service (DDoS)
Unauthorized SSH login attempt from IP 192.168.1.1. Attempted user: user1. Action taken: login.,Brute Force Attack
Malicious script executed from file logfile.log. Remote code execution attempt identified and blocked.,Privilege Escalation
User user1 attempted to disable security settings. Action: login. IP: 192.168.1.1.,Benign
"Access granted to restricted resource resource1. User: user1, Device: USB1.",Benign
Table users_table updated in database user_db. Query: SELECT * FROM users.,Benign
User user1 attempted to access restricted resource resource1. Attempted action: login.,Benign
User user1 logged out. Reason: Access denied. Process ID: 12345.,Benign
High traffic detected on port 8080. Source IP: 192.168.1.1. Possible DDoS attack.,Distributed Denial of Service (DDoS)
